unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
789,166,604000.0,0.0,0,0,1049100.0,3.0,442110,0.0,0,2,2016.0,0,1
1137,835,50000.0,0.0,0,1,22185.0,3.0,541513,0.0,4,4,2014.0,0,1
1763,411,8000.0,160.0,0,0,127700.0,2.0,541519,1.5,0,3,2014.0,0,0
2023,1077,5705000.0,0.0,1,0,800000.0,4.0,721110,0.0,0,0,2016.0,0,1
809,929,1300000.0,0.0,0,0,0.0,1.0,339112,0.0,3,4,2016.0,0,0
2098,302,1142444.0,0.0,0,1,793000.0,2.0,326199,20.0,3,4,2015.0,4,0
2861,723,25000.0,1500.0,0,0,212261.0,2.0,311812,1.0,3,1,2016.0,0,0
3865,984,3000000.0,0.0,1,1,644096.0,9.0,721110,9.0,4,2,2012.0,0,0
2852,551,5000.0,150.0,0,0,64140.0,1.0,423620,0.0,3,1,2016.0,0,0
2485,655,305000.0,0.0,1,1,17300.0,1.0,112320,1.0,4,1,2013.0,0,1
3712,98,37300.0,0.0,1,1,211083.0,1.0,561730,1.0,0,4,2013.0,0,1
2721,1036,25000.0,0.0,0,1,0.0,0.0,518210,0.0,3,4,2016.0,0,0
271,506,25000.0,0.0,0,0,84792.0,2.0,541922,1.0,3,4,2014.0,0,0
771,781,1000000.0,0.0,0,1,0.0,0.0,623312,70.0,0,3,2016.0,0,1
2346,231,200000.0,0.0,0,1,0.0,0.0,238190,6.0,3,4,2014.0,0,0
2085,252,600000.0,0.0,0,1,600000.0,3.0,541512,15.0,3,4,2017.0,1,0
1367,630,150000.0,0.0,1,1,937646.0,0.0,722513,37.0,0,0,2014.0,0,1
2898,1212,2215.0,66.45,0,0,52248.0,1.0,443142,0.0,3,4,2016.0,0,0
2792,276,4000.0,270.0,0,0,43200.0,1.0,812112,0.0,3,4,2015.0,0,0
3957,1201,310000.0,0.0,1,1,0.0,0.0,624410,10.0,4,4,2016.0,0,0
812,1236,1754313.94,0.0,0,0,0.0,6.0,511210,0.0,3,4,2015.0,4,0
1142,885,10000.0,0.0,0,0,15000.0,2.0,512110,0.0,4,4,2014.0,0,1
2505,430,145000.0,0.0,0,1,0.0,1.0,424820,2.0,0,4,2014.0,0,0
3752,1207,267000.0,0.0,1,1,1200000.0,5.0,621340,1.0,0,4,2015.0,0,1
1076,1223,50000.0,0.0,0,1,1500000.0,12.0,541519,2.0,4,4,2014.0,0,0
3247,1115,500000.0,0.0,0,1,4070619.0,6.0,236118,10.0,0,4,2014.0,0,0
1369,972,75000.0,0.0,1,1,57430.84,10.0,541810,2.0,0,1,2013.0,0,1
1998,235,444230.78,0.0,1,0,90000.0,4.0,713940,10.0,0,0,2015.0,0,1
3421,1001,100000.0,0.0,0,1,0.0,9.0,511120,4.0,0,4,2014.0,0,1
743,1014,200000.0,0.0,1,1,201306.0,4.0,312140,2.0,0,1,2016.0,0,1
1354,127,13000.0,0.0,0,0,28994.0,1.0,611620,2.5,0,1,2012.0,0,1
1418,315,10000.0,0.0,0,1,0.0,3.0,519130,0.0,3,4,2016.0,3,0
2471,506,150000.0,0.0,0,0,0.0,0.0,722410,3.0,0,1,2012.0,0,1
1369,972,75000.0,0.0,1,1,57430.84,10.0,541810,2.0,0,1,2013.0,0,1
1300,1141,200000.0,0.0,0,0,0.0,7.0,541613,0.0,4,4,2014.0,0,1
1442,169,25000.0,0.0,0,0,0.0,3.0,519130,3.0,3,4,2016.0,3,0
1547,155,1100000.0,0.0,0,1,0.0,3.0,423990,3.0,3,1,2017.0,0,0
3432,534,530000.0,0.0,0,1,0.0,9.0,541990,0.0,0,2,2014.0,0,1
3982,214,44230.0,0.0,1,1,0.0,0.0,311812,2.0,0,4,2013.0,0,1
280,607,100000.0,0.0,0,1,1658000.0,6.0,517919,1.0,0,4,2014.0,0,0
1156,1057,30000.0,0.0,0,1,120000.0,2.0,541613,2.0,4,4,2014.0,0,1
2636,176,1440502.0,0.0,0,1,154000.0,1.0,624410,2.0,0,3,2016.0,0,0
1920,677,31500.0,0.0,0,1,289663.0,4.0,492110,1.0,0,1,2012.0,0,1
385,726,26000.0,0.0,0,1,158307.0,3.0,722330,2.0,3,4,2014.0,0,0
1141,881,50000.0,0.0,0,1,0.0,1.0,541618,0.0,4,4,2014.0,0,0
1322,1236,150000.0,0.0,0,0,0.0,13.0,541310,0.0,4,4,2014.0,0,1
2804,555,50000.0,3000.0,0,0,0.0,0.0,327390,6.0,3,1,2015.0,0,0
261,59,100000.0,0.0,1,0,779212.0,4.0,611110,2.0,0,4,2014.0,0,0
3433,559,40000.0,0.0,0,1,88237.0,0.0,339992,0.0,1,4,2015.0,0,1
1962,430,225000.0,0.0,1,1,0.0,4.0,484110,0.0,0,1,2014.0,0,1
2248,749,25000.0,0.0,0,0,0.0,0.0,722515,2.0,3,4,2014.0,0,0
495,161,226125.0,0.0,0,1,16011.0,5.0,312120,1.0,0,4,2014.0,0,0
355,251,75000.0,0.0,0,1,442108.0,3.0,238210,1.0,0,4,2014.0,0,0
2981,578,63400.0,951.0,0,1,531007.0,9.0,561730,6.0,0,4,2014.0,0,0
801,690,47400.0,0.0,0,0,75000.0,2.0,447110,2.0,3,1,2016.0,0,1
4034,79,150000.0,0.0,1,1,2503716.0,13.0,621111,1.0,0,4,2016.0,0,1
1268,37,20000.0,0.0,0,0,37172.0,0.0,541921,0.0,4,4,2014.0,0,1
4038,100,2860533.0,0.0,0,0,4984313.0,0.0,621111,0.0,0,0,2016.0,0,1
2484,652,850000.0,0.0,0,1,1567827.0,13.0,811121,3.0,0,0,2013.0,0,1
1903,941,556096.0,0.0,1,1,1019882.0,8.0,621210,1.0,0,4,2014.0,0,0
3697,1229,19000.0,0.0,0,1,0.0,0.0,611710,1.0,3,4,2016.0,0,0
665,301,35000.0,0.0,0,1,148057.0,6.0,621610,2.0,3,4,2014.0,0,0
671,308,25000.0,0.0,0,1,138920.0,1.0,448120,1.0,3,4,2014.0,0,0
2037,1149,100000.0,0.0,0,1,1036590.0,4.0,238910,10.0,3,4,2012.0,0,1
2026,1208,1125000.0,0.0,0,0,430000.0,1.0,812990,3.0,0,2,2016.0,0,1
2442,1239,50000.0,0.0,1,1,334854.0,9.0,424410,12.0,0,1,2014.0,0,1
2405,342,249991.0,0.0,0,1,0.0,2.0,541711,4.0,3,4,2014.0,4,0
1966,880,2125000.0,0.0,0,0,1800000.0,5.0,713950,0.0,0,3,2014.0,0,1
2111,929,11363962.0,0.0,0,0,661421.0,4.0,531120,130.0,4,2,2016.0,0,0
2057,1123,916000.0,0.0,0,1,0.0,2.0,721110,8.0,0,0,2014.0,0,1
3978,394,530000.0,0.0,0,1,445124.0,3.0,541940,3.0,0,2,2017.0,0,1
2478,1262,160000.0,0.0,0,1,0.0,0.0,812112,6.0,0,4,2014.0,0,1
2038,1135,100000.0,0.0,0,1,0.0,3.0,423840,5.0,0,4,2014.0,0,1
1504,1020,200000.0,0.0,0,1,0.0,1.0,511210,3.0,3,4,2014.0,0,0
2454,42,578500.0,0.0,1,1,2145000.0,0.0,722511,50.0,0,1,2014.0,0,1
2016,790,45000.0,0.0,0,0,0.0,1.0,453998,1.0,0,1,2016.0,0,1
2507,307,307409.11,0.0,0,1,0.0,7.0,484220,15.0,0,4,2014.0,0,1
2047,855,300000.0,0.0,0,0,4874267.57,6.0,333911,6.0,0,4,2013.0,0,1
1060,1014,300000.0,0.0,0,0,1019426.0,3.0,423320,10.0,4,4,2014.0,0,1
4001,697,49501.0,0.0,0,1,0.0,0.0,562119,5.0,0,1,2014.0,0,0
3602,654,900000.0,0.0,1,0,1304989.0,7.0,541712,0.0,3,4,2016.0,0,0
752,120,60000.0,0.0,0,0,74324.0,2.0,621399,0.0,0,4,2016.0,0,1
3382,1095,920000.0,0.0,0,0,0.0,0.0,541711,0.0,3,4,2016.0,4,0
370,530,25000.0,0.0,0,0,339391.0,4.0,453310,3.0,3,4,2014.0,0,0
3665,784,710000.0,0.0,0,0,403151.0,10.0,339999,25.0,3,4,2016.0,4,0
2469,896,366610.0,0.0,1,0,86835.0,2.0,112320,1.0,0,0,2012.0,0,1
1182,425,300000.0,0.0,0,1,150000.0,1.0,541613,3.0,4,4,2014.0,0,1
1821,793,145000.0,0.0,0,1,5375.0,5.0,454111,1.0,3,4,2016.0,0,0
2934,851,2575000.0,0.0,0,1,0.0,8.0,519130,0.0,3,4,2016.0,4,0
2107,865,1070000.0,0.0,0,1,0.0,3.0,339113,4.0,3,4,2015.0,4,0
1873,1192,468000.0,0.0,0,1,0.0,0.0,447110,5.5,0,4,2014.0,0,0
