Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
"unique_id, full_time_employees",0.9123456790123456,0.9047619047619048,0.9519832985386222,0.9277721261444557
"unique_id, naics_code",0.8987654320987655,0.9026369168356998,0.9290187891440501,0.9156378600823046
"unique_id, naics_code",0.8987654320987655,0.9026369168356998,0.9290187891440501,0.9156378600823046
"unique_id, jobs_created",0.9,0.888671875,0.9498956158663883,0.9182643794147326
"unique_id, jobs_created",0.9,0.888671875,0.9498956158663883,0.9182643794147326
"unique_id, lender_type_category",0.9209876543209876,0.8982725527831094,0.9770354906054279,0.9359999999999999
"unique_id, lender_type_category",0.9209876543209876,0.8982725527831094,0.9770354906054279,0.9359999999999999
"unique_id, optional_primary_use_of_funds",0.908641975308642,0.8947368421052632,0.9582463465553236,0.9254032258064516
"unique_id, optional_primary_use_of_funds",0.908641975308642,0.8947368421052632,0.9582463465553236,0.9254032258064516
"unique_id, optional_revenue_yr_confirmed",0.9135802469135802,0.9001956947162426,0.9603340292275574,0.9292929292929293
"unique_id, optional_revenue_yr_confirmed",0.9135802469135802,0.9001956947162426,0.9603340292275574,0.9292929292929293
"unique_id, optional_stage",0.9111111111111111,0.8936170212765957,0.964509394572025,0.9277108433734939
"unique_id, optional_stage",0.9111111111111111,0.8936170212765957,0.964509394572025,0.9277108433734939
"unique_id, support_amount",0.9160493827160494,0.8990291262135922,0.9665970772442589,0.93158953722334
"unique_id, support_amount",0.9160493827160494,0.8990291262135922,0.9665970772442589,0.93158953722334
"disbursement_date, loan_investment_amount",0.6395061728395062,0.6709323583180987,0.7661795407098121,0.7153996101364523
"disbursement_date, loan_investment_amount",0.6395061728395062,0.6709323583180987,0.7661795407098121,0.7153996101364523
"disbursement_date, lender_insurance_premium",0.6283950617283951,0.6304985337243402,0.8977035490605428,0.7407407407407407
"disbursement_date, lender_insurance_premium",0.6283950617283951,0.6304985337243402,0.8977035490605428,0.7407407407407407
"disbursement_date, metro_type",0.6049382716049383,0.6336134453781512,0.7870563674321504,0.7020484171322161
"disbursement_date, metro_type",0.6049382716049383,0.6336134453781512,0.7870563674321504,0.7020484171322161
