Feature,Random Forest Accuracy,Random Forest Precision,Random Forest Recall,Random Forest F1 Score
unique_id,0.8790123456790123,0.6359447004608295,0.8643006263048016,0.7327433628318585
disbursement_date,0.5987654320987654,0.6359447004608295,0.8643006263048016,0.7327433628318585
loan_investment_amount,0.6061728395061728,0.6359447004608295,0.8643006263048016,0.7327433628318585
lender_insurance_premium,0.6296296296296297,0.6359447004608295,0.8643006263048016,0.7327433628318585
metro_type,0.591358024691358,0.6359447004608295,0.8643006263048016,0.7327433628318585
LMI_type,0.591358024691358,0.6359447004608295,0.8643006263048016,0.7327433628318585
revenue,0.6469135802469136,0.6359447004608295,0.8643006263048016,0.7327433628318585
full_time_employees,0.5851851851851851,0.6359447004608295,0.8643006263048016,0.7327433628318585
naics_code,0.5975308641975309,0.6359447004608295,0.8643006263048016,0.7327433628318585
jobs_created,0.5876543209876544,0.6359447004608295,0.8643006263048016,0.7327433628318585
lender_type_category,0.6790123456790124,0.6359447004608295,0.8643006263048016,0.7327433628318585
optional_primary_use_of_funds,0.5753086419753086,0.6359447004608295,0.8643006263048016,0.7327433628318585
optional_revenue_yr_confirmed,0.6950617283950618,0.6359447004608295,0.8643006263048016,0.7327433628318585
optional_stage,0.591358024691358,0.6359447004608295,0.8643006263048016,0.7327433628318585
support_amount,0.6962962962962963,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, disbursement_date",0.8925925925925926,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, disbursement_date",0.8925925925925926,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, loan_investment_amount",0.8851851851851852,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, loan_investment_amount",0.8851851851851852,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, lender_insurance_premium",0.8876543209876543,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, lender_insurance_premium",0.8876543209876543,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, metro_type",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, metro_type",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, LMI_type",0.8716049382716049,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, LMI_type",0.8716049382716049,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, revenue",0.8888888888888888,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, revenue",0.8888888888888888,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, full_time_employees",0.8938271604938272,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, full_time_employees",0.8938271604938272,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, naics_code",0.891358024691358,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, naics_code",0.891358024691358,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, jobs_created",0.8765432098765432,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, jobs_created",0.8765432098765432,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, lender_type_category",0.8814814814814815,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, lender_type_category",0.8814814814814815,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_primary_use_of_funds",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_primary_use_of_funds",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_revenue_yr_confirmed",0.8864197530864197,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_revenue_yr_confirmed",0.8864197530864197,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_stage",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, optional_stage",0.8753086419753087,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, support_amount",0.8740740740740741,0.6359447004608295,0.8643006263048016,0.7327433628318585
"unique_id, support_amount",0.8740740740740741,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, loan_investment_amount",0.6259259259259259,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, loan_investment_amount",0.6259259259259259,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, lender_insurance_premium",0.6049382716049383,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, lender_insurance_premium",0.6049382716049383,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, metro_type",0.6222222222222222,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, metro_type",0.6222222222222222,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, LMI_type",0.5975308641975309,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, LMI_type",0.5975308641975309,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, revenue",0.6074074074074074,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, revenue",0.6074074074074074,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, full_time_employees",0.5901234567901235,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, full_time_employees",0.5901234567901235,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, naics_code",0.6172839506172839,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, naics_code",0.6172839506172839,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, jobs_created",0.6135802469135803,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, jobs_created",0.6135802469135803,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, lender_type_category",0.6271604938271605,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, lender_type_category",0.6271604938271605,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_primary_use_of_funds",0.6469135802469136,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_primary_use_of_funds",0.6469135802469136,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_revenue_yr_confirmed",0.7185185185185186,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_revenue_yr_confirmed",0.7185185185185186,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_stage",0.6185185185185185,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, optional_stage",0.6185185185185185,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, support_amount",0.6666666666666666,0.6359447004608295,0.8643006263048016,0.7327433628318585
"disbursement_date, support_amount",0.6666666666666666,0.6359447004608295,0.8643006263048016,0.7327433628318585
"loan_investment_amount, lender_insurance_premium",0.6395061728395062,0.6359447004608295,0.8643006263048016,0.7327433628318585
