Feature,Neural Network Accuracy
"LMI_type, revenue",0.5901234745979309
"LMI_type, revenue",0.5901234745979309
"LMI_type, full_time_employees",0.5913580060005188
"LMI_type, full_time_employees",0.5913580060005188
"LMI_type, naics_code",0.5913580060005188
"LMI_type, naics_code",0.5913580060005188
"LMI_type, jobs_created",0.5913580060005188
"LMI_type, jobs_created",0.5913580060005188
"LMI_type, lender_type_category",0.6790123581886292
"LMI_type, lender_type_category",0.6790123581886292
"LMI_type, optional_primary_use_of_funds",0.575308620929718
"LMI_type, optional_primary_use_of_funds",0.575308620929718
"LMI_type, optional_revenue_yr_confirmed",0.6950617432594299
"LMI_type, optional_revenue_yr_confirmed",0.6950617432594299
"LMI_type, optional_stage",0.5913580060005188
"LMI_type, optional_stage",0.5913580060005188
"LMI_type, support_amount",0.6987654566764832
"LMI_type, support_amount",0.6987654566764832
"revenue, full_time_employees",0.5925925970077515
"revenue, full_time_employees",0.5925925970077515
"revenue, naics_code",0.6000000238418579
"revenue, naics_code",0.6000000238418579
"revenue, jobs_created",0.6135802268981934
"revenue, jobs_created",0.6135802268981934
"revenue, lender_type_category",0.6790123581886292
"revenue, lender_type_category",0.6790123581886292
"revenue, optional_primary_use_of_funds",0.690123438835144
"revenue, optional_primary_use_of_funds",0.690123438835144
"revenue, optional_revenue_yr_confirmed",0.6950617432594299
"revenue, optional_revenue_yr_confirmed",0.6950617432594299
"revenue, optional_stage",0.6037036776542664
"revenue, optional_stage",0.6037036776542664
"revenue, support_amount",0.690123438835144
"revenue, support_amount",0.690123438835144
"full_time_employees, naics_code",0.6037036776542664
"full_time_employees, naics_code",0.6037036776542664
"full_time_employees, jobs_created",0.6037036776542664
"full_time_employees, jobs_created",0.6037036776542664
"full_time_employees, lender_type_category",0.7234567999839783
"full_time_employees, lender_type_category",0.7234567999839783
"full_time_employees, optional_primary_use_of_funds",0.6358024477958679
"full_time_employees, optional_primary_use_of_funds",0.6358024477958679
"full_time_employees, optional_revenue_yr_confirmed",0.7407407164573669
"full_time_employees, optional_revenue_yr_confirmed",0.7407407164573669
"full_time_employees, optional_stage",0.5987654328346252
"full_time_employees, optional_stage",0.5987654328346252
"full_time_employees, support_amount",0.7111111283302307
"full_time_employees, support_amount",0.7111111283302307
"naics_code, jobs_created",0.5975308418273926
"naics_code, jobs_created",0.5975308418273926
"naics_code, lender_type_category",0.6790123581886292
"naics_code, lender_type_category",0.6790123581886292
"naics_code, optional_primary_use_of_funds",0.6320987939834595
"naics_code, optional_primary_use_of_funds",0.6320987939834595
"naics_code, optional_revenue_yr_confirmed",0.6950617432594299
"naics_code, optional_revenue_yr_confirmed",0.6950617432594299
"naics_code, optional_stage",0.5913580060005188
"naics_code, optional_stage",0.5913580060005188
"naics_code, support_amount",0.680246889591217
"naics_code, support_amount",0.680246889591217
"jobs_created, lender_type_category",0.690123438835144
"jobs_created, lender_type_category",0.690123438835144
"jobs_created, optional_primary_use_of_funds",0.5962963104248047
"jobs_created, optional_primary_use_of_funds",0.5962963104248047
"jobs_created, optional_revenue_yr_confirmed",0.7123456597328186
"jobs_created, optional_revenue_yr_confirmed",0.7123456597328186
"jobs_created, optional_stage",0.5913580060005188
"jobs_created, optional_stage",0.5913580060005188
"jobs_created, support_amount",0.6962962746620178
"jobs_created, support_amount",0.6962962746620178
"lender_type_category, optional_primary_use_of_funds",0.7765432000160217
"lender_type_category, optional_primary_use_of_funds",0.7765432000160217
"lender_type_category, optional_revenue_yr_confirmed",0.7456790208816528
"lender_type_category, optional_revenue_yr_confirmed",0.7456790208816528
"lender_type_category, optional_stage",0.6790123581886292
"lender_type_category, optional_stage",0.6790123581886292
"lender_type_category, support_amount",0.6876543164253235
"lender_type_category, support_amount",0.6876543164253235
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.7382715940475464
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.7382715940475464
"optional_primary_use_of_funds, optional_stage",0.6407407522201538
"optional_primary_use_of_funds, optional_stage",0.6407407522201538
"optional_primary_use_of_funds, support_amount",0.7629629373550415
"optional_primary_use_of_funds, support_amount",0.7629629373550415
"optional_revenue_yr_confirmed, optional_stage",0.7037037014961243
"optional_revenue_yr_confirmed, optional_stage",0.7037037014961243
"optional_revenue_yr_confirmed, support_amount",0.7555555701255798
"optional_revenue_yr_confirmed, support_amount",0.7555555701255798
"optional_stage, support_amount",0.6839506030082703
"optional_stage, support_amount",0.6839506030082703
"unique_id, disbursement_date, loan_investment_amount",0.790123462677002
"unique_id, disbursement_date, loan_investment_amount",0.790123462677002
"unique_id, disbursement_date, loan_investment_amount",0.790123462677002
"unique_id, disbursement_date, lender_insurance_premium",0.7962962985038757
"unique_id, disbursement_date, lender_insurance_premium",0.7962962985038757
"unique_id, disbursement_date, lender_insurance_premium",0.7962962985038757
"unique_id, disbursement_date, metro_type",0.7580246925354004
"unique_id, disbursement_date, metro_type",0.7580246925354004
"unique_id, disbursement_date, metro_type",0.7580246925354004
"unique_id, disbursement_date, LMI_type",0.7543209791183472
"unique_id, disbursement_date, LMI_type",0.7543209791183472
"unique_id, disbursement_date, LMI_type",0.7543209791183472
