Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
"lender_insurance_premium, LMI_type",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, revenue",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, revenue",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, full_time_employees",0.5975308641975309,0.6026845637583893,0.9373695198329853,0.7336601307189541
"lender_insurance_premium, full_time_employees",0.5975308641975309,0.6026845637583893,0.9373695198329853,0.7336601307189541
"lender_insurance_premium, naics_code",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, naics_code",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, jobs_created",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, jobs_created",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, lender_type_category",0.6654320987654321,0.7148760330578512,0.7223382045929019,0.7185877466251298
"lender_insurance_premium, lender_type_category",0.6654320987654321,0.7148760330578512,0.7223382045929019,0.7185877466251298
"lender_insurance_premium, optional_primary_use_of_funds",0.6234567901234568,0.6175675675675676,0.954070981210856,0.7497949138638228
"lender_insurance_premium, optional_primary_use_of_funds",0.6234567901234568,0.6175675675675676,0.954070981210856,0.7497949138638228
"lender_insurance_premium, optional_revenue_yr_confirmed",0.5753086419753086,0.5938803894297635,0.8914405010438413,0.7128547579298831
"lender_insurance_premium, optional_revenue_yr_confirmed",0.5753086419753086,0.5938803894297635,0.8914405010438413,0.7128547579298831
"lender_insurance_premium, optional_stage",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, optional_stage",0.5925925925925926,0.5923172242874845,0.9979123173277662,0.7433903576982891
"lender_insurance_premium, support_amount",0.6111111111111112,0.6084656084656085,0.9603340292275574,0.7449392712550607
"lender_insurance_premium, support_amount",0.6111111111111112,0.6084656084656085,0.9603340292275574,0.7449392712550607
"metro_type, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, LMI_type",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, full_time_employees",0.5901234567901235,0.6060606060606061,0.8768267223382046,0.7167235494880545
"metro_type, full_time_employees",0.5901234567901235,0.6060606060606061,0.8768267223382046,0.7167235494880545
"metro_type, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, lender_type_category",0.7358024691358025,0.7387387387387387,0.8559498956158664,0.7930367504835589
"metro_type, lender_type_category",0.7358024691358025,0.7387387387387387,0.8559498956158664,0.7930367504835589
"metro_type, optional_primary_use_of_funds",0.5901234567901235,0.8209606986899564,0.3924843423799583,0.5310734463276837
"metro_type, optional_primary_use_of_funds",0.5901234567901235,0.8209606986899564,0.3924843423799583,0.5310734463276837
"metro_type, optional_revenue_yr_confirmed",0.7049382716049383,0.8550295857988166,0.6033402922755741,0.7074663402692778
"metro_type, optional_revenue_yr_confirmed",0.7049382716049383,0.8550295857988166,0.6033402922755741,0.7074663402692778
"metro_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"metro_type, support_amount",0.6333333333333333,0.6219839142091153,0.9686847599164927,0.7575510204081632
"metro_type, support_amount",0.6333333333333333,0.6219839142091153,0.9686847599164927,0.7575510204081632
"LMI_type, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, revenue",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, full_time_employees",0.5950617283950618,0.6,0.9457202505219207,0.7341977309562399
"LMI_type, full_time_employees",0.5950617283950618,0.6,0.9457202505219207,0.7341977309562399
"LMI_type, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"LMI_type, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"LMI_type, optional_primary_use_of_funds",0.5950617283950618,0.6940874035989717,0.5636743215031316,0.6221198156682028
"LMI_type, optional_primary_use_of_funds",0.5950617283950618,0.6940874035989717,0.5636743215031316,0.6221198156682028
"LMI_type, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"LMI_type, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"LMI_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"LMI_type, support_amount",0.6098765432098765,0.607095926412615,0.964509394572025,0.7451612903225806
"LMI_type, support_amount",0.6098765432098765,0.607095926412615,0.964509394572025,0.7451612903225806
"revenue, full_time_employees",0.5925925925925926,0.5992010652463382,0.9394572025052192,0.7317073170731707
"revenue, full_time_employees",0.5925925925925926,0.5992010652463382,0.9394572025052192,0.7317073170731707
"revenue, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, naics_code",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"revenue, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"revenue, optional_primary_use_of_funds",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, optional_primary_use_of_funds",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"revenue, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"revenue, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"revenue, support_amount",0.6098765432098765,0.6073781291172595,0.9624217118997912,0.7447495961227786
"revenue, support_amount",0.6098765432098765,0.6073781291172595,0.9624217118997912,0.7447495961227786
"full_time_employees, naics_code",0.5888888888888889,0.596816976127321,0.9394572025052192,0.7299270072992701
"full_time_employees, naics_code",0.5888888888888889,0.596816976127321,0.9394572025052192,0.7299270072992701
"full_time_employees, jobs_created",0.6012345679012345,0.6048387096774194,0.9394572025052192,0.7358953393295176
"full_time_employees, jobs_created",0.6012345679012345,0.6048387096774194,0.9394572025052192,0.7358953393295176
"full_time_employees, lender_type_category",0.6728395061728395,0.7229166666666667,0.7244258872651357,0.7236704900938478
"full_time_employees, lender_type_category",0.6728395061728395,0.7229166666666667,0.7244258872651357,0.7236704900938478
"full_time_employees, optional_primary_use_of_funds",0.6283950617283951,0.6583629893238434,0.7724425887265136,0.7108549471661864
"full_time_employees, optional_primary_use_of_funds",0.6283950617283951,0.6583629893238434,0.7724425887265136,0.7108549471661864
"full_time_employees, optional_revenue_yr_confirmed",0.6148148148148148,0.6371100164203612,0.8100208768267223,0.7132352941176471
"full_time_employees, optional_revenue_yr_confirmed",0.6148148148148148,0.6371100164203612,0.8100208768267223,0.7132352941176471
"full_time_employees, optional_stage",0.5950617283950618,0.6052998605299861,0.906054279749478,0.725752508361204
"full_time_employees, optional_stage",0.5950617283950618,0.6052998605299861,0.906054279749478,0.725752508361204
"full_time_employees, support_amount",0.6296296296296297,0.6194926568758344,0.9686847599164927,0.755700325732899
"full_time_employees, support_amount",0.6296296296296297,0.6194926568758344,0.9686847599164927,0.755700325732899
"naics_code, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"naics_code, jobs_created",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"naics_code, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"naics_code, lender_type_category",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"naics_code, optional_primary_use_of_funds",0.5555555555555556,0.6178217821782178,0.651356993736952,0.6341463414634146
"naics_code, optional_primary_use_of_funds",0.5555555555555556,0.6178217821782178,0.651356993736952,0.6341463414634146
"naics_code, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"naics_code, optional_revenue_yr_confirmed",0.5617283950617284,0.5842391304347826,0.8977035490605428,0.7078189300411524
"naics_code, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"naics_code, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"naics_code, support_amount",0.6111111111111112,0.6081794195250659,0.9624217118997912,0.7453516572352465
"naics_code, support_amount",0.6111111111111112,0.6081794195250659,0.9624217118997912,0.7453516572352465
"jobs_created, lender_type_category",0.671604938271605,0.716024340770791,0.7369519832985386,0.7263374485596708
"jobs_created, lender_type_category",0.671604938271605,0.716024340770791,0.7369519832985386,0.7263374485596708
"jobs_created, optional_primary_use_of_funds",0.6185185185185185,0.7348066298342542,0.5553235908141962,0.6325802615933412
"jobs_created, optional_primary_use_of_funds",0.6185185185185185,0.7348066298342542,0.5553235908141962,0.6325802615933412
"jobs_created, optional_revenue_yr_confirmed",0.5654320987654321,0.5859269282814614,0.9039665970772442,0.7110016420361247
"jobs_created, optional_revenue_yr_confirmed",0.5654320987654321,0.5859269282814614,0.9039665970772442,0.7110016420361247
"jobs_created, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"jobs_created, optional_stage",0.591358024691358,0.591358024691358,1.0,0.7432117920868891
"jobs_created, support_amount",0.6259259259259259,0.6176470588235294,0.964509394572025,0.7530562347188264
"jobs_created, support_amount",0.6259259259259259,0.6176470588235294,0.964509394572025,0.7530562347188264
"lender_type_category, optional_primary_use_of_funds",0.7703703703703704,0.7602131438721137,0.8935281837160751,0.8214971209213052
"lender_type_category, optional_primary_use_of_funds",0.7703703703703704,0.7602131438721137,0.8935281837160751,0.8214971209213052
"lender_type_category, optional_revenue_yr_confirmed",0.7234567901234568,0.746615087040619,0.8058455114822547,0.7751004016064258
"lender_type_category, optional_revenue_yr_confirmed",0.7234567901234568,0.746615087040619,0.8058455114822547,0.7751004016064258
"lender_type_category, optional_stage",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"lender_type_category, optional_stage",0.6666666666666666,0.7154639175257732,0.7244258872651357,0.7199170124481327
"lender_type_category, support_amount",0.6703703703703704,0.7208333333333333,0.7223382045929019,0.7215849843587071
"lender_type_category, support_amount",0.6703703703703704,0.7208333333333333,0.7223382045929019,0.7215849843587071
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.7246913580246913,0.8742690058479532,0.6242171189979123,0.7283800243605361
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.7246913580246913,0.8742690058479532,0.6242171189979123,0.7283800243605361
"optional_primary_use_of_funds, optional_stage",0.6407407407407407,0.8587786259541985,0.4697286012526096,0.6072874493927126
"optional_primary_use_of_funds, optional_stage",0.6407407407407407,0.8587786259541985,0.4697286012526096,0.6072874493927126
"optional_primary_use_of_funds, support_amount",0.6925925925925925,0.6691176470588235,0.9498956158663883,0.7851596203623813
"optional_primary_use_of_funds, support_amount",0.6925925925925925,0.6691176470588235,0.9498956158663883,0.7851596203623813
"optional_revenue_yr_confirmed, optional_stage",0.5604938271604938,0.5834464043419267,0.8977035490605428,0.7072368421052632
"optional_revenue_yr_confirmed, optional_stage",0.5604938271604938,0.5834464043419267,0.8977035490605428,0.7072368421052632
"optional_revenue_yr_confirmed, support_amount",0.6246913580246913,0.6327769347496206,0.8705636743215032,0.7328646748681898
"optional_revenue_yr_confirmed, support_amount",0.6246913580246913,0.6327769347496206,0.8705636743215032,0.7328646748681898
"optional_stage, support_amount",0.6148148148148148,0.6105960264900663,0.9624217118997912,0.747163695299838
"optional_stage, support_amount",0.6148148148148148,0.6105960264900663,0.9624217118997912,0.747163695299838
"unique_id, disbursement_date, loan_investment_amount",0.6987654320987654,0.7317554240631163,0.7745302713987474,0.7525354969574036
"unique_id, disbursement_date, loan_investment_amount",0.6987654320987654,0.7317554240631163,0.7745302713987474,0.7525354969574036
"unique_id, disbursement_date, loan_investment_amount",0.6987654320987654,0.7317554240631163,0.7745302713987474,0.7525354969574036
"unique_id, disbursement_date, lender_insurance_premium",0.7111111111111111,0.7351247600767754,0.7995824634655533,0.766
"unique_id, disbursement_date, lender_insurance_premium",0.7111111111111111,0.7351247600767754,0.7995824634655533,0.766
"unique_id, disbursement_date, lender_insurance_premium",0.7111111111111111,0.7351247600767754,0.7995824634655533,0.766
"unique_id, disbursement_date, metro_type",0.682716049382716,0.7193675889328063,0.7599164926931107,0.7390862944162436
"unique_id, disbursement_date, metro_type",0.682716049382716,0.7193675889328063,0.7599164926931107,0.7390862944162436
"unique_id, disbursement_date, metro_type",0.682716049382716,0.7193675889328063,0.7599164926931107,0.7390862944162436
"unique_id, disbursement_date, LMI_type",0.7086419753086419,0.7323135755258127,0.7995824634655533,0.7644710578842316
"unique_id, disbursement_date, LMI_type",0.7086419753086419,0.7323135755258127,0.7995824634655533,0.7644710578842316
"unique_id, disbursement_date, LMI_type",0.7086419753086419,0.7323135755258127,0.7995824634655533,0.7644710578842316
"unique_id, disbursement_date, revenue",0.6987654320987654,0.7263969171483622,0.7870563674321504,0.7555110220440882
"unique_id, disbursement_date, revenue",0.6987654320987654,0.7263969171483622,0.7870563674321504,0.7555110220440882
"unique_id, disbursement_date, revenue",0.6987654320987654,0.7263969171483622,0.7870563674321504,0.7555110220440882
"unique_id, disbursement_date, full_time_employees",0.7135802469135802,0.7334593572778828,0.8100208768267223,0.7698412698412698
"unique_id, disbursement_date, full_time_employees",0.7135802469135802,0.7334593572778828,0.8100208768267223,0.7698412698412698
"unique_id, disbursement_date, full_time_employees",0.7135802469135802,0.7334593572778828,0.8100208768267223,0.7698412698412698
"unique_id, disbursement_date, naics_code",0.7037037037037037,0.7284894837476099,0.7954070981210856,0.7604790419161677
"unique_id, disbursement_date, naics_code",0.7037037037037037,0.7284894837476099,0.7954070981210856,0.7604790419161677
"unique_id, disbursement_date, naics_code",0.7037037037037037,0.7284894837476099,0.7954070981210856,0.7604790419161677
"unique_id, disbursement_date, jobs_created",0.7012345679012346,0.727447216890595,0.791231732776618,0.7580000000000001
"unique_id, disbursement_date, jobs_created",0.7012345679012346,0.727447216890595,0.791231732776618,0.7580000000000001
"unique_id, disbursement_date, jobs_created",0.7012345679012346,0.727447216890595,0.791231732776618,0.7580000000000001
"unique_id, disbursement_date, lender_type_category",0.6925925925925925,0.7129629629629629,0.8037578288100209,0.7556427870461236
"unique_id, disbursement_date, lender_type_category",0.6925925925925925,0.7129629629629629,0.8037578288100209,0.7556427870461236
"unique_id, disbursement_date, lender_type_category",0.6925925925925925,0.7129629629629629,0.8037578288100209,0.7556427870461236
"unique_id, disbursement_date, optional_primary_use_of_funds",0.7,0.7510638297872341,0.7369519832985386,0.7439409905163329
"unique_id, disbursement_date, optional_primary_use_of_funds",0.7,0.7510638297872341,0.7369519832985386,0.7439409905163329
"unique_id, disbursement_date, optional_primary_use_of_funds",0.7,0.7510638297872341,0.7369519832985386,0.7439409905163329
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.682716049382716,0.7341772151898734,0.7265135699373695,0.7303252885624345
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.682716049382716,0.7341772151898734,0.7265135699373695,0.7303252885624345
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.682716049382716,0.7341772151898734,0.7265135699373695,0.7303252885624345
"unique_id, disbursement_date, optional_stage",0.6950617283950618,0.7248062015503876,0.7807933194154488,0.7517587939698492
"unique_id, disbursement_date, optional_stage",0.6950617283950618,0.7248062015503876,0.7807933194154488,0.7517587939698492
"unique_id, disbursement_date, optional_stage",0.6950617283950618,0.7248062015503876,0.7807933194154488,0.7517587939698492
"unique_id, disbursement_date, support_amount",0.7333333333333333,0.7395264116575592,0.8475991649269311,0.7898832684824904
"unique_id, disbursement_date, support_amount",0.7333333333333333,0.7395264116575592,0.8475991649269311,0.7898832684824904
"unique_id, disbursement_date, support_amount",0.7333333333333333,0.7395264116575592,0.8475991649269311,0.7898832684824904
"unique_id, loan_investment_amount, lender_insurance_premium",0.7197530864197531,0.7530120481927711,0.7828810020876826,0.7676560900716479
"unique_id, loan_investment_amount, lender_insurance_premium",0.7197530864197531,0.7530120481927711,0.7828810020876826,0.7676560900716479
"unique_id, loan_investment_amount, lender_insurance_premium",0.7197530864197531,0.7530120481927711,0.7828810020876826,0.7676560900716479
"unique_id, loan_investment_amount, metro_type",0.7197530864197531,0.7530120481927711,0.7828810020876826,0.7676560900716479
"unique_id, loan_investment_amount, metro_type",0.7197530864197531,0.7530120481927711,0.7828810020876826,0.7676560900716479
