unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
401,685,630000.0,0.0,0,1,5298816.0,6.0,447110,4.0,0,4,2014.0,0,0
818,543,600000.0,0.0,0,0,7798527.0,8.0,221114,9.0,0,1,2016.0,0,1
2114,1081,375000.0,0.0,0,1,27065.0,5.0,511210,38.0,3,4,2015.0,4,0
1951,200,248200.0,0.0,0,1,425000.0,2.0,424490,2.0,0,1,2014.0,0,1
3480,1146,3750000.0,0.0,1,0,0.0,0.0,221310,60.0,3,4,2014.0,0,0
3746,727,444667.0,0.0,0,1,3300000.0,11.0,454111,40.0,3,4,2014.0,4,0
957,529,60000.0,0.0,0,1,350000.0,1.0,335122,1.0,4,4,2014.0,0,0
1128,762,125000.0,0.0,0,0,0.0,2.0,541330,0.0,4,4,2014.0,0,1
3771,1030,850000.0,0.0,1,1,3175000.0,10.0,621493,10.0,0,4,2014.0,0,1
2077,61,1455290.0,0.0,1,1,0.0,4.0,447110,4.0,0,0,2017.0,0,1
2760,1116,15000.0,1040.0,0,1,65000.0,2.0,811490,1.0,3,4,2016.0,0,0
3996,346,85000.0,0.0,1,0,0.0,0.0,445110,6.0,0,1,2017.0,0,1
2694,500,250000.0,0.0,0,1,23651.0,7.0,335911,31.0,3,4,2016.0,0,0
814,935,144000.0,0.0,0,0,3700000.0,14.0,236220,2.0,0,4,2016.0,0,1
3637,173,625000.0,0.0,0,0,0.0,3.0,541711,0.0,3,4,2016.0,0,0
141,8,200000.0,0.0,0,1,6110289.0,3.0,814110,0.0,0,4,2014.0,0,0
4014,265,5400000.0,0.0,0,1,7487964.0,0.0,493190,0.0,0,0,2017.0,0,1
2369,873,184000.0,0.0,0,1,0.0,0.0,562910,5.0,3,4,2017.0,3,0
1233,255,125000.0,0.0,0,1,50000.0,3.0,238210,2.0,4,4,2014.0,0,1
3213,530,25000.0,375.0,0,1,42000.0,2.0,541430,0.0,0,4,2014.0,0,0
1298,1129,300000.0,0.0,0,1,92000.0,1.0,541611,0.0,4,4,2014.0,0,1
1088,319,80000.0,0.0,0,1,250000.0,1.0,339910,0.0,4,4,2014.0,0,1
438,947,552500.0,0.0,0,0,1133000.0,10.0,624190,0.0,0,4,2014.0,0,0
2507,307,307409.11,0.0,0,1,0.0,7.0,484220,15.0,0,4,2014.0,0,1
3078,733,70000.0,1050.0,0,0,86072.0,1.0,484220,4.0,0,4,2014.0,0,0
2102,515,60000.0,0.0,0,0,122244.0,1.0,238290,1.0,3,4,2013.0,0,1
3481,1131,675000.0,0.0,0,1,80000.0,2.0,334290,3.0,3,4,2014.0,0,0
4004,75,459655.0,0.0,1,1,120732.0,2.0,212319,2.0,0,1,2015.0,0,1
1611,1245,40000.0,0.0,0,1,0.0,0.0,621310,4.0,4,4,2014.0,0,0
1210,103,350000.0,0.0,0,0,580000.0,1.0,444190,0.0,4,4,2014.0,0,1
766,10,91420.0,0.0,1,1,293000.0,1.0,334519,1.0,0,1,2015.0,0,1
1308,1077,40000.0,0.0,0,0,190000.0,3.0,541613,0.0,4,4,2014.0,0,1
2550,1245,600182.0,0.0,1,1,3789836.0,2.0,453998,0.0,0,1,2015.0,0,1
724,818,20000.0,0.0,0,1,211000.0,1.0,518210,0.0,3,4,2014.0,0,0
2105,1228,100000.0,0.0,0,1,0.0,0.0,722513,12.0,3,4,2015.0,0,1
3971,635,50000.0,0.0,0,1,1984.0,1.0,339999,1.0,3,4,2016.0,0,0
3954,439,736000.0,0.0,1,0,1618487.0,9.0,441310,1.0,3,1,2014.0,0,0
3874,913,245000.0,0.0,0,1,1249675.0,9.0,445120,3.0,4,1,2015.0,0,0
1134,919,10000.0,0.0,0,0,500.0,1.0,448150,3.0,4,4,2014.0,0,1
3764,796,225000.0,0.0,1,1,347000.0,1.0,712130,5.0,0,0,2016.0,0,1
1751,1075,100000.0,1500.0,0,1,0.0,4.0,621210,4.0,0,4,2014.0,0,0
2818,1022,400000.0,0.0,0,1,194874.0,5.0,561410,1.0,3,4,2016.0,0,0
2065,451,800000.0,0.0,0,1,0.0,0.0,532412,5.0,0,1,2017.0,0,1
1383,1167,180000.0,0.0,1,1,0.0,0.0,811111,0.0,1,1,2014.0,0,1
1010,447,300000.0,0.0,0,0,2900000.0,5.0,236220,5.0,4,4,2014.0,0,0
2917,376,2500.0,75.0,0,0,96000.0,1.0,722513,1.0,3,4,2014.0,0,0
2581,439,2990059.89,0.0,0,0,1621968.0,0.0,541511,2.0,0,0,2015.0,0,0
742,935,2400000.0,0.0,0,0,3489377.0,0.0,334510,0.0,0,3,2016.0,0,1
2078,154,90000.0,0.0,0,0,83431.0,4.0,561730,2.0,0,1,2017.0,0,1
409,753,750000.0,0.0,0,1,726844.0,5.0,339999,2.0,0,4,2014.0,0,0
