Feature,Neural Network Accuracy
"LMI_type, revenue",0.5135135054588318
"LMI_type, revenue",0.5135135054588318
"LMI_type, full_time_employees",0.5101351141929626
"LMI_type, full_time_employees",0.5101351141929626
"LMI_type, naics_code",0.5844594836235046
"LMI_type, naics_code",0.5844594836235046
"LMI_type, jobs_created",0.4864864945411682
"LMI_type, jobs_created",0.4864864945411682
"LMI_type, lender_type_category",0.6689189076423645
"LMI_type, lender_type_category",0.6689189076423645
"LMI_type, optional_primary_use_of_funds",0.6925675868988037
"LMI_type, optional_primary_use_of_funds",0.6925675868988037
"LMI_type, optional_revenue_yr_confirmed",0.837837815284729
"LMI_type, optional_revenue_yr_confirmed",0.837837815284729
"LMI_type, optional_stage",0.5236486196517944
"LMI_type, optional_stage",0.5236486196517944
"LMI_type, support_amount",0.7635135054588318
"LMI_type, support_amount",0.7635135054588318
"revenue, full_time_employees",0.5472972989082336
"revenue, full_time_employees",0.5472972989082336
"revenue, naics_code",0.587837815284729
"revenue, naics_code",0.587837815284729
"revenue, jobs_created",0.48986485600471497
"revenue, jobs_created",0.48986485600471497
"revenue, lender_type_category",0.6925675868988037
"revenue, lender_type_category",0.6925675868988037
"revenue, optional_primary_use_of_funds",0.6993243098258972
"revenue, optional_primary_use_of_funds",0.6993243098258972
"revenue, optional_revenue_yr_confirmed",0.837837815284729
"revenue, optional_revenue_yr_confirmed",0.837837815284729
"revenue, optional_stage",0.5709459185600281
"revenue, optional_stage",0.5709459185600281
"revenue, support_amount",0.7736486196517944
"revenue, support_amount",0.7736486196517944
"full_time_employees, naics_code",0.6013513803482056
"full_time_employees, naics_code",0.6013513803482056
"full_time_employees, jobs_created",0.5067567825317383
"full_time_employees, jobs_created",0.5067567825317383
"full_time_employees, lender_type_category",0.6655405163764954
"full_time_employees, lender_type_category",0.6655405163764954
"full_time_employees, optional_primary_use_of_funds",0.6925675868988037
"full_time_employees, optional_primary_use_of_funds",0.6925675868988037
"full_time_employees, optional_revenue_yr_confirmed",0.837837815284729
"full_time_employees, optional_revenue_yr_confirmed",0.837837815284729
"full_time_employees, optional_stage",0.5337837934494019
"full_time_employees, optional_stage",0.5337837934494019
"full_time_employees, support_amount",0.7668918967247009
"full_time_employees, support_amount",0.7668918967247009
"naics_code, jobs_created",0.5777027010917664
"naics_code, jobs_created",0.5777027010917664
"naics_code, lender_type_category",0.6554054021835327
"naics_code, lender_type_category",0.6554054021835327
"naics_code, optional_primary_use_of_funds",0.6925675868988037
"naics_code, optional_primary_use_of_funds",0.6925675868988037
"naics_code, optional_revenue_yr_confirmed",0.837837815284729
"naics_code, optional_revenue_yr_confirmed",0.837837815284729
"naics_code, optional_stage",0.6081081032752991
"naics_code, optional_stage",0.6081081032752991
"naics_code, support_amount",0.7668918967247009
"naics_code, support_amount",0.7668918967247009
"jobs_created, lender_type_category",0.6554054021835327
"jobs_created, lender_type_category",0.6554054021835327
"jobs_created, optional_primary_use_of_funds",0.6925675868988037
"jobs_created, optional_primary_use_of_funds",0.6925675868988037
"jobs_created, optional_revenue_yr_confirmed",0.837837815284729
"jobs_created, optional_revenue_yr_confirmed",0.837837815284729
"jobs_created, optional_stage",0.5236486196517944
"jobs_created, optional_stage",0.5236486196517944
"jobs_created, support_amount",0.7635135054588318
"jobs_created, support_amount",0.7635135054588318
"lender_type_category, optional_primary_use_of_funds",0.8209459185600281
"lender_type_category, optional_primary_use_of_funds",0.8209459185600281
"lender_type_category, optional_revenue_yr_confirmed",0.8344594836235046
"lender_type_category, optional_revenue_yr_confirmed",0.8344594836235046
"lender_type_category, optional_stage",0.6689189076423645
"lender_type_category, optional_stage",0.6689189076423645
"lender_type_category, support_amount",0.75
"lender_type_category, support_amount",0.75
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8817567825317383
"optional_primary_use_of_funds, optional_revenue_yr_confirmed",0.8817567825317383
"optional_primary_use_of_funds, optional_stage",0.7398648858070374
"optional_primary_use_of_funds, optional_stage",0.7398648858070374
"optional_primary_use_of_funds, support_amount",0.8547297120094299
"optional_primary_use_of_funds, support_amount",0.8547297120094299
"optional_revenue_yr_confirmed, optional_stage",0.837837815284729
"optional_revenue_yr_confirmed, optional_stage",0.837837815284729
"optional_revenue_yr_confirmed, support_amount",0.8310810923576355
"optional_revenue_yr_confirmed, support_amount",0.8310810923576355
"optional_stage, support_amount",0.7466216087341309
"optional_stage, support_amount",0.7466216087341309
"unique_id, disbursement_date, loan_investment_amount",0.8445945978164673
"unique_id, disbursement_date, loan_investment_amount",0.8445945978164673
"unique_id, disbursement_date, loan_investment_amount",0.8445945978164673
"unique_id, disbursement_date, lender_insurance_premium",0.8445945978164673
"unique_id, disbursement_date, lender_insurance_premium",0.8445945978164673
"unique_id, disbursement_date, lender_insurance_premium",0.8445945978164673
"unique_id, disbursement_date, metro_type",0.8445945978164673
"unique_id, disbursement_date, metro_type",0.8445945978164673
"unique_id, disbursement_date, metro_type",0.8445945978164673
"unique_id, disbursement_date, LMI_type",0.8445945978164673
"unique_id, disbursement_date, LMI_type",0.8445945978164673
"unique_id, disbursement_date, LMI_type",0.8445945978164673
"unique_id, disbursement_date, revenue",0.837837815284729
"unique_id, disbursement_date, revenue",0.837837815284729
"unique_id, disbursement_date, revenue",0.837837815284729
"unique_id, disbursement_date, full_time_employees",0.8412162065505981
"unique_id, disbursement_date, full_time_employees",0.8412162065505981
"unique_id, disbursement_date, full_time_employees",0.8412162065505981
"unique_id, disbursement_date, naics_code",0.8445945978164673
"unique_id, disbursement_date, naics_code",0.8445945978164673
"unique_id, disbursement_date, naics_code",0.8445945978164673
"unique_id, disbursement_date, jobs_created",0.8310810923576355
"unique_id, disbursement_date, jobs_created",0.8310810923576355
"unique_id, disbursement_date, jobs_created",0.8310810923576355
"unique_id, disbursement_date, lender_type_category",0.8344594836235046
"unique_id, disbursement_date, lender_type_category",0.8344594836235046
"unique_id, disbursement_date, lender_type_category",0.8344594836235046
"unique_id, disbursement_date, optional_primary_use_of_funds",0.8513513803482056
"unique_id, disbursement_date, optional_primary_use_of_funds",0.8513513803482056
"unique_id, disbursement_date, optional_primary_use_of_funds",0.8513513803482056
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.8412162065505981
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.8412162065505981
"unique_id, disbursement_date, optional_revenue_yr_confirmed",0.8412162065505981
"unique_id, disbursement_date, optional_stage",0.8412162065505981
"unique_id, disbursement_date, optional_stage",0.8412162065505981
"unique_id, disbursement_date, optional_stage",0.8412162065505981
"unique_id, disbursement_date, support_amount",0.837837815284729
"unique_id, disbursement_date, support_amount",0.837837815284729
"unique_id, disbursement_date, support_amount",0.837837815284729
"unique_id, loan_investment_amount, lender_insurance_premium",0.8344594836235046
"unique_id, loan_investment_amount, lender_insurance_premium",0.8344594836235046
"unique_id, loan_investment_amount, lender_insurance_premium",0.8344594836235046
"unique_id, loan_investment_amount, metro_type",0.8243243098258972
"unique_id, loan_investment_amount, metro_type",0.8243243098258972
"unique_id, loan_investment_amount, metro_type",0.8243243098258972
"unique_id, loan_investment_amount, LMI_type",0.8277027010917664
"unique_id, loan_investment_amount, LMI_type",0.8277027010917664
"unique_id, loan_investment_amount, LMI_type",0.8277027010917664
"unique_id, loan_investment_amount, revenue",0.8243243098258972
"unique_id, loan_investment_amount, revenue",0.8243243098258972
"unique_id, loan_investment_amount, revenue",0.8243243098258972
"unique_id, loan_investment_amount, full_time_employees",0.8243243098258972
"unique_id, loan_investment_amount, full_time_employees",0.8243243098258972
"unique_id, loan_investment_amount, full_time_employees",0.8243243098258972
"unique_id, loan_investment_amount, naics_code",0.8209459185600281
"unique_id, loan_investment_amount, naics_code",0.8209459185600281
"unique_id, loan_investment_amount, naics_code",0.8209459185600281
"unique_id, loan_investment_amount, jobs_created",0.8209459185600281
"unique_id, loan_investment_amount, jobs_created",0.8209459185600281
"unique_id, loan_investment_amount, jobs_created",0.8209459185600281
"unique_id, loan_investment_amount, lender_type_category",0.8310810923576355
"unique_id, loan_investment_amount, lender_type_category",0.8310810923576355
"unique_id, loan_investment_amount, lender_type_category",0.8310810923576355
"unique_id, loan_investment_amount, optional_primary_use_of_funds",0.8277027010917664
"unique_id, loan_investment_amount, optional_primary_use_of_funds",0.8277027010917664
"unique_id, loan_investment_amount, optional_primary_use_of_funds",0.8277027010917664
"unique_id, loan_investment_amount, optional_revenue_yr_confirmed",0.8783783912658691
"unique_id, loan_investment_amount, optional_revenue_yr_confirmed",0.8783783912658691
"unique_id, loan_investment_amount, optional_revenue_yr_confirmed",0.8783783912658691
"unique_id, loan_investment_amount, optional_stage",0.8277027010917664
"unique_id, loan_investment_amount, optional_stage",0.8277027010917664
"unique_id, loan_investment_amount, optional_stage",0.8277027010917664
"unique_id, loan_investment_amount, support_amount",0.8310810923576355
"unique_id, loan_investment_amount, support_amount",0.8310810923576355
"unique_id, loan_investment_amount, support_amount",0.8310810923576355
"unique_id, lender_insurance_premium, metro_type",0.8344594836235046
"unique_id, lender_insurance_premium, metro_type",0.8344594836235046
"unique_id, lender_insurance_premium, metro_type",0.8344594836235046
"unique_id, lender_insurance_premium, LMI_type",0.837837815284729
"unique_id, lender_insurance_premium, LMI_type",0.837837815284729
"unique_id, lender_insurance_premium, LMI_type",0.837837815284729
"unique_id, lender_insurance_premium, revenue",0.8310810923576355
"unique_id, lender_insurance_premium, revenue",0.8310810923576355
"unique_id, lender_insurance_premium, revenue",0.8310810923576355
"unique_id, lender_insurance_premium, full_time_employees",0.837837815284729
"unique_id, lender_insurance_premium, full_time_employees",0.837837815284729
"unique_id, lender_insurance_premium, full_time_employees",0.837837815284729
"unique_id, lender_insurance_premium, naics_code",0.8277027010917664
"unique_id, lender_insurance_premium, naics_code",0.8277027010917664
"unique_id, lender_insurance_premium, naics_code",0.8277027010917664
"unique_id, lender_insurance_premium, jobs_created",0.8344594836235046
"unique_id, lender_insurance_premium, jobs_created",0.8344594836235046
"unique_id, lender_insurance_premium, jobs_created",0.8344594836235046
"unique_id, lender_insurance_premium, lender_type_category",0.8310810923576355
"unique_id, lender_insurance_premium, lender_type_category",0.8310810923576355
"unique_id, lender_insurance_premium, lender_type_category",0.8310810923576355
"unique_id, lender_insurance_premium, optional_primary_use_of_funds",0.8513513803482056
"unique_id, lender_insurance_premium, optional_primary_use_of_funds",0.8513513803482056
"unique_id, lender_insurance_premium, optional_primary_use_of_funds",0.8513513803482056
"unique_id, lender_insurance_premium, optional_revenue_yr_confirmed",0.8513513803482056
"unique_id, lender_insurance_premium, optional_revenue_yr_confirmed",0.8513513803482056
"unique_id, lender_insurance_premium, optional_revenue_yr_confirmed",0.8513513803482056
"unique_id, lender_insurance_premium, optional_stage",0.8344594836235046
"unique_id, lender_insurance_premium, optional_stage",0.8344594836235046
"unique_id, lender_insurance_premium, optional_stage",0.8344594836235046
"unique_id, lender_insurance_premium, support_amount",0.8310810923576355
"unique_id, lender_insurance_premium, support_amount",0.8310810923576355
"unique_id, lender_insurance_premium, support_amount",0.8310810923576355
"unique_id, metro_type, LMI_type",0.8344594836235046
"unique_id, metro_type, LMI_type",0.8344594836235046
"unique_id, metro_type, LMI_type",0.8344594836235046
"unique_id, metro_type, revenue",0.8310810923576355
"unique_id, metro_type, revenue",0.8310810923576355
"unique_id, metro_type, revenue",0.8310810923576355
"unique_id, metro_type, full_time_employees",0.8310810923576355
"unique_id, metro_type, full_time_employees",0.8310810923576355
"unique_id, metro_type, full_time_employees",0.8310810923576355
"unique_id, metro_type, naics_code",0.8243243098258972
"unique_id, metro_type, naics_code",0.8243243098258972
"unique_id, metro_type, naics_code",0.8243243098258972
"unique_id, metro_type, jobs_created",0.8277027010917664
"unique_id, metro_type, jobs_created",0.8277027010917664
"unique_id, metro_type, jobs_created",0.8277027010917664
"unique_id, metro_type, lender_type_category",0.8277027010917664
"unique_id, metro_type, lender_type_category",0.8277027010917664
"unique_id, metro_type, lender_type_category",0.8277027010917664
"unique_id, metro_type, optional_primary_use_of_funds",0.837837815284729
"unique_id, metro_type, optional_primary_use_of_funds",0.837837815284729
"unique_id, metro_type, optional_primary_use_of_funds",0.837837815284729
"unique_id, metro_type, optional_revenue_yr_confirmed",0.9087837934494019
"unique_id, metro_type, optional_revenue_yr_confirmed",0.9087837934494019
"unique_id, metro_type, optional_revenue_yr_confirmed",0.9087837934494019
"unique_id, metro_type, optional_stage",0.8344594836235046
"unique_id, metro_type, optional_stage",0.8344594836235046
"unique_id, metro_type, optional_stage",0.8344594836235046
"unique_id, metro_type, support_amount",0.8310810923576355
"unique_id, metro_type, support_amount",0.8310810923576355
"unique_id, metro_type, support_amount",0.8310810923576355
"unique_id, LMI_type, revenue",0.8277027010917664
"unique_id, LMI_type, revenue",0.8277027010917664
"unique_id, LMI_type, revenue",0.8277027010917664
"unique_id, LMI_type, full_time_employees",0.8277027010917664
"unique_id, LMI_type, full_time_employees",0.8277027010917664
"unique_id, LMI_type, full_time_employees",0.8277027010917664
"unique_id, LMI_type, naics_code",0.8243243098258972
"unique_id, LMI_type, naics_code",0.8243243098258972
"unique_id, LMI_type, naics_code",0.8243243098258972
"unique_id, LMI_type, jobs_created",0.8141891956329346
"unique_id, LMI_type, jobs_created",0.8141891956329346
"unique_id, LMI_type, jobs_created",0.8141891956329346
"unique_id, LMI_type, lender_type_category",0.8209459185600281
"unique_id, LMI_type, lender_type_category",0.8209459185600281
"unique_id, LMI_type, lender_type_category",0.8209459185600281
"unique_id, LMI_type, optional_primary_use_of_funds",0.8344594836235046
"unique_id, LMI_type, optional_primary_use_of_funds",0.8344594836235046
"unique_id, LMI_type, optional_primary_use_of_funds",0.8344594836235046
"unique_id, LMI_type, optional_revenue_yr_confirmed",0.8986486196517944
"unique_id, LMI_type, optional_revenue_yr_confirmed",0.8986486196517944
"unique_id, LMI_type, optional_revenue_yr_confirmed",0.8986486196517944
"unique_id, LMI_type, optional_stage",0.8310810923576355
"unique_id, LMI_type, optional_stage",0.8310810923576355
"unique_id, LMI_type, optional_stage",0.8310810923576355
"unique_id, LMI_type, support_amount",0.8344594836235046
"unique_id, LMI_type, support_amount",0.8344594836235046
"unique_id, LMI_type, support_amount",0.8344594836235046
"unique_id, revenue, full_time_employees",0.837837815284729
"unique_id, revenue, full_time_employees",0.837837815284729
"unique_id, revenue, full_time_employees",0.837837815284729
"unique_id, revenue, naics_code",0.8209459185600281
"unique_id, revenue, naics_code",0.8209459185600281
"unique_id, revenue, naics_code",0.8209459185600281
"unique_id, revenue, jobs_created",0.8243243098258972
"unique_id, revenue, jobs_created",0.8243243098258972
"unique_id, revenue, jobs_created",0.8243243098258972
"unique_id, revenue, lender_type_category",0.8445945978164673
"unique_id, revenue, lender_type_category",0.8445945978164673
"unique_id, revenue, lender_type_category",0.8445945978164673
"unique_id, revenue, optional_primary_use_of_funds",0.8277027010917664
"unique_id, revenue, optional_primary_use_of_funds",0.8277027010917664
"unique_id, revenue, optional_primary_use_of_funds",0.8277027010917664
"unique_id, revenue, optional_revenue_yr_confirmed",0.8918918967247009
"unique_id, revenue, optional_revenue_yr_confirmed",0.8918918967247009
"unique_id, revenue, optional_revenue_yr_confirmed",0.8918918967247009
"unique_id, revenue, optional_stage",0.8310810923576355
"unique_id, revenue, optional_stage",0.8310810923576355
"unique_id, revenue, optional_stage",0.8310810923576355
"unique_id, revenue, support_amount",0.8209459185600281
"unique_id, revenue, support_amount",0.8209459185600281
"unique_id, revenue, support_amount",0.8209459185600281
"unique_id, full_time_employees, naics_code",0.837837815284729
"unique_id, full_time_employees, naics_code",0.837837815284729
"unique_id, full_time_employees, naics_code",0.837837815284729
"unique_id, full_time_employees, jobs_created",0.8277027010917664
"unique_id, full_time_employees, jobs_created",0.8277027010917664
"unique_id, full_time_employees, jobs_created",0.8277027010917664
"unique_id, full_time_employees, lender_type_category",0.8479729890823364
"unique_id, full_time_employees, lender_type_category",0.8479729890823364
"unique_id, full_time_employees, lender_type_category",0.8479729890823364
"unique_id, full_time_employees, optional_primary_use_of_funds",0.8310810923576355
"unique_id, full_time_employees, optional_primary_use_of_funds",0.8310810923576355
