Feature,Logistic Regression Accuracy,Logistic Regression Precision,Logistic Regression Recall,Logistic Regression F1 Score
"unique_id, support_amount",0.7804054054054054,0.7710843373493976,0.8258064516129032,0.7975077881619937
"unique_id, support_amount",0.7804054054054054,0.7710843373493976,0.8258064516129032,0.7975077881619937
"disbursement_date, loan_investment_amount",0.6182432432432432,0.75,0.4064516129032258,0.5271966527196652
"disbursement_date, loan_investment_amount",0.6182432432432432,0.75,0.4064516129032258,0.5271966527196652
"disbursement_date, lender_insurance_premium",0.5101351351351351,0.5454545454545454,0.3870967741935484,0.45283018867924524
"disbursement_date, lender_insurance_premium",0.5101351351351351,0.5454545454545454,0.3870967741935484,0.45283018867924524
"disbursement_date, metro_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"disbursement_date, metro_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"disbursement_date, LMI_type",0.4864864864864865,0.512396694214876,0.4,0.4492753623188406
"disbursement_date, LMI_type",0.4864864864864865,0.512396694214876,0.4,0.4492753623188406
"disbursement_date, revenue",0.5033783783783784,0.5571428571428572,0.25161290322580643,0.3466666666666667
"disbursement_date, revenue",0.5033783783783784,0.5571428571428572,0.25161290322580643,0.3466666666666667
"disbursement_date, full_time_employees",0.5101351351351351,0.5396825396825397,0.43870967741935485,0.4839857651245551
"disbursement_date, full_time_employees",0.5101351351351351,0.5396825396825397,0.43870967741935485,0.4839857651245551
"disbursement_date, naics_code",0.5033783783783784,0.5327868852459017,0.41935483870967744,0.4693140794223827
"disbursement_date, naics_code",0.5033783783783784,0.5327868852459017,0.41935483870967744,0.4693140794223827
"disbursement_date, jobs_created",0.47297297297297297,0.4948453608247423,0.3096774193548387,0.380952380952381
"disbursement_date, jobs_created",0.47297297297297297,0.4948453608247423,0.3096774193548387,0.380952380952381
"disbursement_date, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"disbursement_date, lender_type_category",0.6486486486486487,0.7142857142857143,0.5483870967741935,0.6204379562043795
"disbursement_date, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"disbursement_date, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"disbursement_date, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"disbursement_date, optional_revenue_yr_confirmed",0.7466216216216216,0.9347826086956522,0.5548387096774193,0.6963562753036437
"disbursement_date, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"disbursement_date, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"disbursement_date, support_amount",0.6959459459459459,0.6701570680628273,0.8258064516129032,0.7398843930635838
"disbursement_date, support_amount",0.6959459459459459,0.6701570680628273,0.8258064516129032,0.7398843930635838
"loan_investment_amount, lender_insurance_premium",0.6148648648648649,0.759493670886076,0.3870967741935484,0.5128205128205128
"loan_investment_amount, lender_insurance_premium",0.6148648648648649,0.759493670886076,0.3870967741935484,0.5128205128205128
"loan_investment_amount, metro_type",0.6959459459459459,0.8735632183908046,0.49032258064516127,0.628099173553719
"loan_investment_amount, metro_type",0.6959459459459459,0.8735632183908046,0.49032258064516127,0.628099173553719
