unique_id,disbursement_date,loan_investment_amount,lender_insurance_premium,metro_type,LMI_type,revenue,full_time_employees,naics_code,jobs_created,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,target
71,284,75000.0,0.0,0,1,0.0,18.0,722513,0.0,0,4,2014.0,0,0
654,115,250000.0,0.0,1,0,2201073.0,18.0,237990,6.0,1,1,2014.0,0,1
132,117,6612500.0,0.0,0,0,14666000.0,62.0,531120,20.0,0,4,2014.0,0,0
523,178,1278000.0,0.0,1,1,4988852.0,59.0,551112,4.0,0,2,2016.0,0,1
637,580,240000.0,0.0,0,0,1900000.0,15.0,332510,2.0,3,4,2014.0,0,1
638,604,100000.0,0.0,0,1,110000.0,22.0,561730,0.0,3,4,2014.0,0,1
681,76,2570000.0,0.0,1,1,4700000.0,15.0,623210,15.0,0,1,2012.0,0,0
983,841,400000.0,0.0,0,1,8600000.0,23.0,424990,5.0,0,1,2014.0,0,1
603,27,300000.0,0.0,0,0,30000000.0,67.0,424110,2.0,3,4,2014.0,0,0
635,515,50000.0,0.0,0,1,1000000.0,25.0,333318,0.0,3,4,2014.0,0,1
1026,246,498000.0,0.0,0,1,2020749.0,58.0,722511,33.0,2,4,2015.0,0,0
837,336,1539000.0,0.0,0,1,4296000.0,25.0,336413,13.0,0,4,2015.0,0,0
122,773,100000.0,0.0,0,1,950000.0,15.0,237721,0.0,0,4,2014.0,0,0
863,336,875000.0,0.0,0,1,0.0,25.0,722511,25.0,0,1,2015.0,0,1
655,9,700000.0,0.0,1,1,0.0,43.0,445110,23.0,1,4,2014.0,0,1
95,543,300000.0,0.0,0,1,23537919.0,470.0,624190,0.0,0,4,2014.0,0,0
964,364,4865384.34,0.0,0,1,50934.0,15.5,541711,0.0,2,4,2017.0,0,0
627,134,350000.0,0.0,0,1,20000.0,26.0,337110,8.0,3,4,2014.0,0,1
979,448,635000.0,0.0,1,0,10377063.0,100.0,321113,0.0,3,4,2014.0,0,1
1176,360,45000.0,0.0,0,1,290832.0,21.0,561720,2.0,2,4,2014.0,0,0
1441,21,1820000.0,0.0,0,1,2326320.0,75.0,113310,15.0,0,2,2016.0,0,1
1370,522,4459200.0,0.0,0,1,9879000.0,58.0,562111,17.0,3,2,2015.0,0,0
1213,560,830570.0,0.0,0,1,2027577.0,25.0,621340,6.0,3,2,2015.0,0,0
86,480,200000.0,0.0,0,1,14500000.0,180.0,311520,30.0,0,4,2014.0,0,0
642,757,300000.0,0.0,0,1,0.0,15.0,238990,0.0,3,4,2014.0,0,1
464,237,656000.0,0.0,0,0,666102.0,22.0,111335,30.0,0,4,2014.0,0,0
808,520,100000.0,1500.0,0,1,4100000.0,47.0,238910,0.0,0,4,2016.0,0,0
845,204,1800000.0,0.0,1,0,5787000.0,70.0,336612,15.0,4,3,2013.0,0,1
1337,334,215000.0,0.0,1,1,3053428.0,23.0,621210,0.0,0,3,2014.0,0,1
1197,534,3105000.0,0.0,0,0,0.0,51.0,447110,3.0,0,2,2014.0,0,1
1281,550,1900000.0,0.0,1,1,561861.0,17.0,334510,0.0,2,4,2016.0,4,0
635,515,50000.0,0.0,0,1,1000000.0,25.0,333318,0.0,3,4,2014.0,0,1
619,682,750000.0,0.0,0,1,1989037.0,21.0,238990,0.0,3,4,2014.0,0,1
830,565,346896.0,0.0,0,1,2946015.0,28.0,237110,5.0,0,4,2015.0,0,0
851,323,400000.0,0.0,1,0,4978769.0,60.0,321918,20.0,2,1,2015.0,0,1
845,204,1800000.0,0.0,1,0,5787000.0,70.0,336612,15.0,4,3,2013.0,0,1
1228,208,6056000.0,0.0,0,0,55359.0,17.0,721110,0.0,2,2,2015.0,0,0
620,96,50000.0,0.0,0,0,300000.0,24.0,561311,2.0,3,4,2014.0,0,1
1447,789,2700000.0,0.0,0,0,0.0,50.0,332812,10.0,2,4,2016.0,0,0
