Feature,XGBoost Accuracy,XGBoost Precision,XGBoost Recall,XGBoost F1 Score
"lender_insurance_premium, naics_code",0.6486486486486487,0.6861313868613139,0.6064516129032258,0.6438356164383562
"lender_insurance_premium, jobs_created",0.46283783783783783,0.4811320754716981,0.32903225806451614,0.39080459770114945
"lender_insurance_premium, jobs_created",0.46283783783783783,0.4811320754716981,0.32903225806451614,0.39080459770114945
"lender_insurance_premium, lender_type_category",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"lender_insurance_premium, lender_type_category",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"lender_insurance_premium, optional_primary_use_of_funds",0.6891891891891891,0.9701492537313433,0.41935483870967744,0.5855855855855856
"lender_insurance_premium, optional_primary_use_of_funds",0.6891891891891891,0.9701492537313433,0.41935483870967744,0.5855855855855856
"lender_insurance_premium, optional_revenue_yr_confirmed",0.831081081081081,0.9133858267716536,0.7483870967741936,0.822695035460993
"lender_insurance_premium, optional_revenue_yr_confirmed",0.831081081081081,0.9133858267716536,0.7483870967741936,0.822695035460993
"lender_insurance_premium, optional_stage",0.5202702702702703,0.782608695652174,0.11612903225806452,0.20224719101123598
"lender_insurance_premium, optional_stage",0.5202702702702703,0.782608695652174,0.11612903225806452,0.20224719101123598
"lender_insurance_premium, support_amount",0.8040540540540541,0.8702290076335878,0.7354838709677419,0.7972027972027972
"lender_insurance_premium, support_amount",0.8040540540540541,0.8702290076335878,0.7354838709677419,0.7972027972027972
"metro_type, LMI_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, LMI_type",0.5844594594594594,0.8478260869565217,0.25161290322580643,0.3880597014925372
"metro_type, revenue",0.6013513513513513,0.6581196581196581,0.4967741935483871,0.5661764705882353
"metro_type, revenue",0.6013513513513513,0.6581196581196581,0.4967741935483871,0.5661764705882353
"metro_type, full_time_employees",0.5540540540540541,0.6419753086419753,0.33548387096774196,0.44067796610169496
"metro_type, full_time_employees",0.5540540540540541,0.6419753086419753,0.33548387096774196,0.44067796610169496
"metro_type, naics_code",0.706081081081081,0.753731343283582,0.6516129032258065,0.698961937716263
"metro_type, naics_code",0.706081081081081,0.753731343283582,0.6516129032258065,0.698961937716263
"metro_type, jobs_created",0.5912162162162162,0.7125,0.36774193548387096,0.4851063829787234
"metro_type, jobs_created",0.5912162162162162,0.7125,0.36774193548387096,0.4851063829787234
"metro_type, lender_type_category",0.7195945945945946,0.7686567164179104,0.6645161290322581,0.7128027681660901
"metro_type, lender_type_category",0.7195945945945946,0.7686567164179104,0.6645161290322581,0.7128027681660901
"metro_type, optional_primary_use_of_funds",0.7297297297297297,0.9120879120879121,0.535483870967742,0.6747967479674797
"metro_type, optional_primary_use_of_funds",0.7297297297297297,0.9120879120879121,0.535483870967742,0.6747967479674797
"metro_type, optional_revenue_yr_confirmed",0.8445945945945946,0.8865248226950354,0.8064516129032258,0.8445945945945944
"metro_type, optional_revenue_yr_confirmed",0.8445945945945946,0.8865248226950354,0.8064516129032258,0.8445945945945944
"metro_type, optional_stage",0.625,0.84375,0.34838709677419355,0.4931506849315068
"metro_type, optional_stage",0.625,0.84375,0.34838709677419355,0.4931506849315068
"metro_type, support_amount",0.8344594594594594,0.8441558441558441,0.8387096774193549,0.8414239482200646
"metro_type, support_amount",0.8344594594594594,0.8441558441558441,0.8387096774193549,0.8414239482200646
"LMI_type, revenue",0.5337837837837838,0.5648854961832062,0.4774193548387097,0.5174825174825176
"LMI_type, revenue",0.5337837837837838,0.5648854961832062,0.4774193548387097,0.5174825174825176
"LMI_type, full_time_employees",0.5,0.5241379310344828,0.49032258064516127,0.5066666666666666
"LMI_type, full_time_employees",0.5,0.5241379310344828,0.49032258064516127,0.5066666666666666
"LMI_type, naics_code",0.6790540540540541,0.7142857142857143,0.6451612903225806,0.6779661016949152
"LMI_type, naics_code",0.6790540540540541,0.7142857142857143,0.6451612903225806,0.6779661016949152
"LMI_type, jobs_created",0.4864864864864865,0.5145631067961165,0.3419354838709677,0.4108527131782945
"LMI_type, jobs_created",0.4864864864864865,0.5145631067961165,0.3419354838709677,0.4108527131782945
"LMI_type, lender_type_category",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"LMI_type, lender_type_category",0.668918918918919,0.7614678899082569,0.535483870967742,0.6287878787878788
"LMI_type, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"LMI_type, optional_primary_use_of_funds",0.6925675675675675,0.9705882352941176,0.4258064516129032,0.5919282511210762
"LMI_type, optional_revenue_yr_confirmed",0.8378378378378378,0.9212598425196851,0.7548387096774194,0.8297872340425532
"LMI_type, optional_revenue_yr_confirmed",0.8378378378378378,0.9212598425196851,0.7548387096774194,0.8297872340425532
"LMI_type, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"LMI_type, optional_stage",0.5236486486486487,0.85,0.10967741935483871,0.19428571428571428
"LMI_type, support_amount",0.8006756756756757,0.8428571428571429,0.7612903225806451,0.7999999999999999
"LMI_type, support_amount",0.8006756756756757,0.8428571428571429,0.7612903225806451,0.7999999999999999
"revenue, full_time_employees",0.5777027027027027,0.6153846153846154,0.5161290322580645,0.5614035087719298
"revenue, full_time_employees",0.5777027027027027,0.6153846153846154,0.5161290322580645,0.5614035087719298
"revenue, naics_code",0.6486486486486487,0.6711409395973155,0.6451612903225806,0.6578947368421053
"revenue, naics_code",0.6486486486486487,0.6711409395973155,0.6451612903225806,0.6578947368421053
"revenue, jobs_created",0.5304054054054054,0.5555555555555556,0.5161290322580645,0.5351170568561873
"revenue, jobs_created",0.5304054054054054,0.5555555555555556,0.5161290322580645,0.5351170568561873
"revenue, lender_type_category",0.6824324324324325,0.7194244604316546,0.6451612903225806,0.6802721088435374
"revenue, lender_type_category",0.6824324324324325,0.7194244604316546,0.6451612903225806,0.6802721088435374
"revenue, optional_primary_use_of_funds",0.6554054054054054,0.7523809523809524,0.5096774193548387,0.6076923076923076
"revenue, optional_primary_use_of_funds",0.6554054054054054,0.7523809523809524,0.5096774193548387,0.6076923076923076
"revenue, optional_revenue_yr_confirmed",0.8277027027027027,0.9,0.7548387096774194,0.8210526315789475
"revenue, optional_revenue_yr_confirmed",0.8277027027027027,0.9,0.7548387096774194,0.8210526315789475
"revenue, optional_stage",0.6081081081081081,0.6444444444444445,0.5612903225806452,0.6
"revenue, optional_stage",0.6081081081081081,0.6444444444444445,0.5612903225806452,0.6
"revenue, support_amount",0.7837837837837838,0.8013245033112583,0.7806451612903226,0.7908496732026143
"revenue, support_amount",0.7837837837837838,0.8013245033112583,0.7806451612903226,0.7908496732026143
"full_time_employees, naics_code",0.6182432432432432,0.6381578947368421,0.6258064516129033,0.6319218241042346
"full_time_employees, naics_code",0.6182432432432432,0.6381578947368421,0.6258064516129033,0.6319218241042346
"full_time_employees, jobs_created",0.527027027027027,0.5572519083969466,0.47096774193548385,0.5104895104895104
"full_time_employees, jobs_created",0.527027027027027,0.5572519083969466,0.47096774193548385,0.5104895104895104
"full_time_employees, lender_type_category",0.6756756756756757,0.736,0.5935483870967742,0.6571428571428571
"full_time_employees, lender_type_category",0.6756756756756757,0.736,0.5935483870967742,0.6571428571428571
"full_time_employees, optional_primary_use_of_funds",0.6824324324324325,0.8765432098765432,0.45806451612903226,0.6016949152542372
"full_time_employees, optional_primary_use_of_funds",0.6824324324324325,0.8765432098765432,0.45806451612903226,0.6016949152542372
"full_time_employees, optional_revenue_yr_confirmed",0.8344594594594594,0.9140625,0.7548387096774194,0.8268551236749118
"full_time_employees, optional_revenue_yr_confirmed",0.8344594594594594,0.9140625,0.7548387096774194,0.8268551236749118
"full_time_employees, optional_stage",0.5135135135135135,0.5413533834586466,0.4645161290322581,0.5
"full_time_employees, optional_stage",0.5135135135135135,0.5413533834586466,0.4645161290322581,0.5
"full_time_employees, support_amount",0.7837837837837838,0.8137931034482758,0.7612903225806451,0.7866666666666666
"full_time_employees, support_amount",0.7837837837837838,0.8137931034482758,0.7612903225806451,0.7866666666666666
"naics_code, jobs_created",0.625,0.6527777777777778,0.6064516129032258,0.6287625418060201
"naics_code, jobs_created",0.625,0.6527777777777778,0.6064516129032258,0.6287625418060201
"naics_code, lender_type_category",0.722972972972973,0.7744360902255639,0.6645161290322581,0.7152777777777777
"naics_code, lender_type_category",0.722972972972973,0.7744360902255639,0.6645161290322581,0.7152777777777777
"naics_code, optional_primary_use_of_funds",0.7398648648648649,0.8,0.6709677419354839,0.7298245614035088
"naics_code, optional_primary_use_of_funds",0.7398648648648649,0.8,0.6709677419354839,0.7298245614035088
"naics_code, optional_revenue_yr_confirmed",0.831081081081081,0.8832116788321168,0.7806451612903226,0.8287671232876712
"naics_code, optional_revenue_yr_confirmed",0.831081081081081,0.8832116788321168,0.7806451612903226,0.8287671232876712
"naics_code, optional_stage",0.6554054054054054,0.6962962962962963,0.6064516129032258,0.6482758620689656
"naics_code, optional_stage",0.6554054054054054,0.6962962962962963,0.6064516129032258,0.6482758620689656
"naics_code, support_amount",0.8209459459459459,0.8493150684931506,0.8,0.8239202657807309
"naics_code, support_amount",0.8209459459459459,0.8493150684931506,0.8,0.8239202657807309
"jobs_created, lender_type_category",0.6486486486486487,0.6976744186046512,0.5806451612903226,0.6338028169014085
"jobs_created, lender_type_category",0.6486486486486487,0.6976744186046512,0.5806451612903226,0.6338028169014085
"jobs_created, optional_primary_use_of_funds",0.6722972972972973,0.8372093023255814,0.4645161290322581,0.5975103734439834
"jobs_created, optional_primary_use_of_funds",0.6722972972972973,0.8372093023255814,0.4645161290322581,0.5975103734439834
"jobs_created, optional_revenue_yr_confirmed",0.8277027027027027,0.9,0.7548387096774194,0.8210526315789475
"jobs_created, optional_revenue_yr_confirmed",0.8277027027027027,0.9,0.7548387096774194,0.8210526315789475
"jobs_created, optional_stage",0.5371621621621622,0.5865384615384616,0.3935483870967742,0.47104247104247104
"jobs_created, optional_stage",0.5371621621621622,0.5865384615384616,0.3935483870967742,0.47104247104247104
"jobs_created, support_amount",0.793918918918919,0.821917808219178,0.7741935483870968,0.7973421926910298
"jobs_created, support_amount",0.793918918918919,0.821917808219178,0.7741935483870968,0.7973421926910298
"lender_type_category, optional_primary_use_of_funds",0.8209459459459459,0.8227848101265823,0.8387096774193549,0.8306709265175719
