unique_id,disbursement_date,ssbci_original_funds,lender_insurance_premium,metro_type,LMI_type,revenue,naics_code,jobs_created,jobs_retained,lender_type_category,optional_primary_use_of_funds,optional_revenue_yr_confirmed,optional_stage,active_status,support_amount,full_time_employees
AL_2014_LGP_51,5/22/2014,1329954.54,0.0,Metro,Non-LMI,22868574.0,423310,0.0,7.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,2500000.0,50.0
AL_2014_LGP_61,7/7/2014,0.0,0.0,Non-Metro,Non-LMI,13440288.0,237310,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1500000.0,74.0
AL_2014_LGP_62,7/7/2014,0.0,0.0,Non-Metro,Non-LMI,13440288.0,237310,0.0,10.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,250000.0,74.0
AL_2014_LGP_65,7/11/2014,0.0,0.0,Metro,LMI,55379565.0,238910,6.0,150.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1130970.6,150.0
AL_2014_LGP_66,7/16/2014,0.0,0.0,Metro,LMI,55379565.0,238910,5.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,29255.98,150.0
AL_2014_LGP_67,7/16/2014,0.0,0.0,Non-Metro,Non-LMI,478093.0,624410,0.0,7.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,89548.15,15.0
AL_2014_LGP_75,8/14/2014,0.0,0.0,Non-Metro,LMI,2788662.0,722511,50.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,230500.0,50.0
AL_2014_LGP_86,9/12/2014,0.0,0.0,Metro,Non-LMI,1066000.0,624410,0.0,18.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,1110000.0,18.0
AL_2014_LGP_87,9/12/2014,0.0,0.0,Non-Metro,LMI,505762.0,237310,0.0,21.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,25000.0,21.0
AL_2014_LGP_88,9/16/2014,0.0,0.0,Metro,Non-LMI,5773000.0,442210,5.0,17.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,425000.0,17.0
AL_2014_LGP_89,9/16/2014,0.0,0.0,Metro,Non-LMI,5773000.0,442210,0.0,0.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,375000.0,17.0
AL_2014_LGP_96,10/2/2014,0.0,0.0,Non-Metro,Non-LMI,0.0,623312,0.0,25.0,Bank or Thrift,"Wages, Working Capital, & Professional Services",2014.0,Early Stage,Unknown,101500.0,25.0
